79POY N048.44.45.690 E002.35.10.888 ; LF
7BUE  N050.04.43.651 E006.58.34.309 ; ED
7DUS  N051.12.50.961 E006.36.11.469 ; ED
7IGEW N050.57.37.789 E006.04.29.200 ; ED
7NM   N050.40.15.578 E013.13.42.938 ; ED
7NM   N048.47.23.578 E002.38.21.321 ; LF
80FFM N049.59.35.239 E008.27.10.771 ; ED
80IMI N051.10.00.861 E002.39.21.441 ; EB
80LRD N048.14.53.811 E007.43.44.090 ; ED
80MCY N049.05.25.000 E005.37.05.001 ; LF
80NUB N049.33.32.479 E010.50.56.860 ; ED
81PB  N048.39.52.851 E007.04.58.389 ; LF
81WUR N049.43.02.438 E010.09.18.061 ; ED
82FHH N049.49.38.809 E007.08.41.348 ; ED
83ABY N049.58.54.901 E002.55.07.201 ; LF
84BT  N048.57.53.290 E002.40.01.621 ; LF
84SAD N049.12.04.640 E006.54.12.988 ; ED
85CGN N049.01.55.401 E002.42.52.441 ; LF
85MAS N050.51.31.881 E005.49.33.121 ; EH
85NAY N048.26.46.600 E005.54.01.299 ; LF
86DOR N051.25.52.658 E007.27.29.559 ; ED
86POY N048.37.54.800 E002.13.59.901 ; LF
88ALD N048.00.01.839 E010.26.56.000 ; ED
88BUB N050.52.37.200 E004.18.35.798 ; EB
89PA  N050.02.42.230 E014.02.16.148 ; LK
8NUB  N049.24.14.079 E011.10.17.248 ; ED
8PON  N049.00.09.640 E002.10.49.490 ; LF
90FRD N049.59.13.509 E008.20.43.231 ; ED
90IMI N051.09.46.789 E002.37.48.781 ; EB
90LAW N052.27.55.490 E016.35.43.371 ; EP
90NUB N049.36.31.460 E010.52.17.799 ; ED
91NID N051.35.22.279 E005.53.53.199 ; ED
92DOR N051.34.38.971 E007.51.43.261 ; ED
93OKL N050.00.40.881 E014.28.01.671 ; LK
93POY N048.35.07.101 E002.18.38.098 ; LF
94BO  N049.07.45.649 E016.56.39.728 ; LK
95GVA N046.21.54.439 E006.17.41.121 ; LS
95SME N046.46.03.129 E016.59.24.658 ; LH
96KLF N052.07.34.010 E013.22.13.760 ; ED
A     N052.16.29.999 E004.52.59.999 ; EH
A     N047.58.26.000 E016.14.44.998 ; LO
AB021 N051.11.09.218 E014.28.45.458 ; ED
AB022 N051.10.17.338 E014.24.11.440 ; ED
AB071 N051.14.04.041 E014.44.17.188 ; ED
AB430 N051.09.33.969 E014.20.23.229 ; ED
AB439 N051.14.49.019 E014.48.19.069 ; ED
AB458 N051.08.35.300 E014.42.53.611 ; ED
AB459 N051.10.01.160 E014.50.34.821 ; ED
AB470 N051.13.27.739 E014.40.56.510 ; ED
AB471 N051.08.07.800 E014.12.48.668 ; ED
AB472 N051.12.54.910 E014.10.31.400 ; ED
AB473 N051.14.20.871 E014.18.08.809 ; ED
AB474 N051.16.24.211 E014.29.10.651 ; ED
AB475 N051.05.12.721 E014.08.01.388 ; ED
ABABI N050.50.13.599 E005.51.13.071 ; EH
ABAMI N051.25.29.999 E007.16.50.001 ; ED
ABARI N047.24.59.000 E006.56.32.999 ; LF
ABDAP N049.59.29.000 E007.09.24.998 ; ED
ABDEX N051.44.29.000 E013.36.59.000 ; ED
ABDIV N048.37.16.798 E011.04.06.600 ; ED
ABDOB N049.54.00.320 E006.34.54.109 ; ED
ABDOS N047.39.56.998 E002.31.46.999 ; LF
ABEBO N047.40.51.261 E009.55.00.080 ; ED
ABERU N050.04.09.098 E012.05.37.388 ; ED
ABESI N046.09.34.999 E009.02.34.000 ; LS
ABGAN N048.57.29.401 E008.55.01.750 ; ED
ABGAS N048.35.36.999 E010.23.30.001 ; ED
ABGEG N051.13.35.000 E016.25.54.001 ; EP
ABGOT N050.59.04.919 E010.38.03.739 ; ED
ABGUS N051.52.01.408 E011.03.12.351 ; ED
ABIGI N051.07.23.008 E006.46.00.598 ; ED
ABILU N051.24.35.999 E007.57.15.001 ; ED
ABIRI N046.45.45.010 E014.58.03.259 ; LO
ABISO N046.15.44.611 E014.21.08.128 ; LJ
ABK   N047.46.54.999 E016.11.30.999 ; LO
ABKIS N050.37.46.898 E013.03.25.869 ; ED
ABKUT N048.58.59.998 E008.15.00.000 ; ED
ABLIB N051.25.59.530 E009.09.28.749 ; ED
ABLIX N050.26.52.000 E004.10.22.501 ; EB
ABLOX N051.22.50.840 E014.31.12.169 ; ED
ABLUM N051.00.38.001 E010.45.47.001 ; ED
ABM-WANGEN N047.40.17.831 E009.46.56.243 ; LS
ABMBV N049.29.28.669 E002.01.41.609 ; LF
ABML  N049.09.03.049 E016.09.14.151 ; LK
ABMLA N049.08.13.099 E016.10.48.640 ; LK
ABMSE N048.37.13.198 E007.40.24.779 ; LF
ABNED N051.50.57.001 E003.10.18.998 ; EH
ABNOR N046.59.24.399 E007.15.06.699 ; LS
ABOBO N048.30.34.599 E002.11.29.500 ; LF
ABODU N051.30.41.000 E006.27.45.000 ; ED
ABORO N048.31.26.900 E002.24.54.298 ; LF
ABOTU N051.35.57.001 E006.31.27.001 ; ED
ABREG N046.18.24.998 E009.33.05.000 ; LI
ABROM N050.29.30.901 E002.29.25.299 ; LF
ABRUK N047.22.59.271 E015.00.23.871 ; LO
ABSAG N052.48.43.999 E014.13.28.999 ; ED
ABSEG N048.15.38.700 E003.52.33.898 ; LF
ABSIX N049.55.45.998 E007.19.49.000 ; ED
ABSUL N051.23.05.999 E009.04.10.999 ; ED
ABTAL N048.51.16.678 E010.06.25.419 ; ED
ABTAN N047.06.48.999 E014.29.44.001 ; LO
ABUKA N049.27.55.000 E008.40.45.001 ; ED
ABUMO N050.08.30.001 E008.55.23.998 ; ED
ABUSI N048.23.27.960 E010.46.44.569 ; ED
ABVIG N051.24.51.998 E011.58.09.998 ; ED
AC041 N051.04.55.581 E012.38.15.259 ; ED
AC042 N051.09.00.619 E012.36.20.030 ; ED
AC043 N051.15.52.930 E012.00.49.600 ; ED
AC044 N051.06.37.080 E012.40.28.559 ; ED
AC045 N051.06.30.729 E012.31.02.020 ; ED
AC046 N051.00.54.219 E013.05.57.609 ; ED
AC221 N050.54.11.170 E012.24.14.050 ; ED
AC222 N050.54.00.471 E012.18.45.248 ; ED
AC223 N051.02.49.171 E012.04.40.191 ; ED
AC224 N050.57.56.980 E012.20.27.848 ; ED
AC225 N050.53.07.850 E012.22.51.880 ; ED
AC226 N050.58.14.289 E013.09.55.281 ; ED
AC420 N050.50.35.970 E012.09.23.540 ; ED
AC422 N051.02.54.268 E012.35.36.020 ; ED
AC427 N050.55.11.690 E012.25.32.700 ; ED
AC429 N051.12.52.711 E012.38.23.899 ; ED
AC430 N050.47.26.350 E012.15.30.070 ; ED
AC439 N051.09.41.551 E012.44.31.390 ; ED
ACAYU N050.02.40.210 E008.17.53.159 ; ED
ACTAF N052.39.39.009 E016.14.27.621 ; EP
AD    N047.41.21.000 E013.07.24.999 ; LO
